tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
"Чиновники займутся теми, кто не работает официально больше 10 лет.

 ", Решение проблемы довольно простое:каждого безработного устроить в отдел по борьбе с безработицей при любом исполкоме.," т.е. чиновниками, вояками и ментами с гебней. которые никогда ничего не делали из того, что присяга обязывала.", Расстреливать будут? Или в трудовые лагеря определять?,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В Минске неизвестные в масках ворвались на мероприятие студенческого профсоюза. 

Задержаны более 10-ти человек.… ", Не неизвестные а известные мрази 🤔," подачка от российского барина, сама себя не выплатит. вот и стараются сотруднички."," Тутбай, может проинформируете читателей о судьбе Мариничей в РБ! Интересен тот который живет в Литве... и пр… "," На суде Иванов Иван Иваныч в балаклаве будет клясться, что они кричали лозунги из окон и размахивали флагами… "," Ой, ой, ой.... опять также сказка для тутбая! И сколько это может продолжаться??? Я всем читающим эту информ… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Послушайте, как люди в магазине в Боровлянах поют «Погоню». ", Напомнили песню вихри враждебные веют над нами.😂😂, Красавцы, Их песня спета)," ото не люди, это блудны змагарский хор",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Что сейчас известно о покупке ИТ-компании Exadel с офисом в Минске?

Рассказываем.  "," какая нибудь путинская закладка, очередная через офшорная.",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Ведущая ОНТ оговорилась в эфире и назвала Светлану Тихановскую бывшим президентом. , Для бывшей ведущей ОНТ избрана мера пресечения в виде заключения под стражу. По предъявленному обвинению в г… , ," Ну всё, расстреляют!", Перепутала Past Perfect с Past Simple :)," То есть, какой она президент? Действующий или будущий?", Бывшая," тут бай не смотрит ОНт, президент котлета- смешно"," Ключевое слово « Бывшая»!!!! Бывшая гражданка РБ! Бывшая жена, я сейчас девка для всех европейцев.....И это бесконечно..."," Пришлось смотреть минский канал, ведущая в зелёном платье, отстой и прошлый век, говорила о президенте Белар… ", после съёмки она поедет в Жодино, Никогда Штирлиц Ещё не был так близок к провалу, Больше она там не работает, ," Бывшим кандидатом в президенты! Оговорился человек, глядите не обоссытесь от счастья🤣", ,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Алла Пугачева обошла Анджелину Джоли в рейтинге настоящих женщин (по мнению россиян).

 "," То есть есть настоящие женщины, а ечть шоколадные что ли? Не понимаю....", А есть и не настоящие?, кто это?, Боже мой какой кругозор,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Как пойдет транспорт в Минске в понедельник, 8 марта?

Рассказываем.  ", А главное куда...,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"МВД сообщило о задержании брестских анархисты «из международной преступной организации».

 "," МВД сообщило о задержании брестских анархисты «из международной преступной организации😂😂😂😂

Брестской анархиты"," Брестских, кого?чего? родительный падеж---анархистов🤣🤣🤣🤣журнашлюхи вы от бога😁"," ""О задержании брестских анархисты""? 
Пятница?"," They can claim what they want, it does not mean it is true.

💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐"," что характерно, фамилии, на кого объявили розыск 
 Александр Козлянко, Никита Дранец, Андрей Марач, Даниил Ч… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Что сейчас происходит вокруг «Беларуськалия» и Yara?

Стачка — за разрыв договора, профсоюзы — против.… "," Их кормить Чернявская с Золотовой будут?

Жиром если только из собственных боков", Хкячка уволят пару человек и все, Профсоюзы идут на хуй. Договариваться с кровавым диктатором хуйня собачья., Кто такая Стачка?)," @__FahreN_ Тутки, срачка в ваших безмозглых головах. Вы дождётесь, что шахтёры сотрут в порошок упорышей без… "," Кого кроме разжигателей и фейкомётов из тутбай, может интересовать эта ""срачка""? Которая, к тому же, в больш… "," The problem with sanctions is that it also ends up hurting the general public.
The chain reaction is complic… "," А шахтеры знают, что их хотят лишить хорошей доли заработка?", в любом случае выиграют россияне.," стачком хочет уволить шахтеров, и их еще не закопали в шахте?"," Не чего не происходит, это вы так думаете что что-то там, Стачка это те упыри которые остались без работы и… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В ЖК ""Каскад"" неизвестные люди в балаклавах снимают бело-красные ленты. ", Бчб-мусор убирают. Молодцы.," Сходите им помешайте, мамкины рэволюционэры..."," This was the job of the little 'green' men, what happened to them?
"," Чистота залог здоровья, порядок прежде всего! "," Так это политическая символика.   Красный на белом фоне древний орнамент ""Восходящее солнце ""  на государств… ", молодцы, Навязывая бчб символику кукловоды получают взамен ненависть!, Дело Баскова-Шакуты процветает?," Что не известные люди это правда, а вот что они снимают с кустов это вопрос, и откуда там взялся оператор, с… "," Как люди может и неизвестные, но прославленные, как петухи"," Ну вот, теперь у многих есть скурпулезное занятие до самой  смерти выродка"," - Папка, а эта медаль за что?
- Лучшая Шестёрка по снятию лент."," Как же смешно смотреть на этот маразм, и грустно одновременно...", Цікавая ў іх праца))), нужно вледельцев найти и сделать то что мы сделали с БЧБшниками в 44-45гг," учитывая текущие кадровые расклады, россиянами  белорусики рассматриваются как нелояльные, потому и командую… ", Дегенераты с бадуна пришли делать красиво," _by , мы знаем что это вы. Можете ходить не стесняясь. Прямо в форме))"," Во делать им нехер, а!", Куски говна," наша служба опасна и трудна, позорники сука",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Эмоциональный разговор учителя и школьника по поводу БРСМ попал на аудио

«Ты против нашего государства?»… "," С - штаблинасьць. Ничего не меняется. Лет 17 назад, будучи школотроном, классный руководитель мне тоже проро… "," Государство,это народ!Но никак не власть.
Власть в нормальном обществе должна менятся,а народ и есть основа любого
государства.", С ног на голову," В США перед уроками все школьники дают клятву флагу.
Давно пора ввести это же самое в Беларуси "," надо уточнять, какого государства. учитывая что в беларуси все больше командуют россияне, скоро ябатек будут… ", Тупая пизда," Есть отличные учителя ,а это позороще!"," А если государство против людей, что делать?",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
